id;date;details;status;payment_method;payment_date;payment_amount
1;2022-11-19T22:38:51;RAM systemic;PAID;CASH_ON_DELIVERY;2022-11-20T03:04:46;5801
2;2022-11-19T16:53:02;Idaho calculating model;ISSUED;CREDIT_CARD;2022-11-19T19:07:59;75071
3;2022-11-19T15:39:00;program SQL;CANCELLED;CREDIT_CARD;2022-11-19T14:18:24;79944
4;2022-11-20T02:33:07;Soft Central;PAID;CASH_ON_DELIVERY;2022-11-19T23:48:48;8068
5;2022-11-20T06:39:59;Bhutanese;CANCELLED;PAYPAL;2022-11-20T08:29:32;87472
6;2022-11-19T19:16:27;Engineer Shirt Court;CANCELLED;PAYPAL;2022-11-20T11:00:54;62834
7;2022-11-20T06:48:49;program transmitting parse;PAID;CREDIT_CARD;2022-11-19T21:49:07;38509
8;2022-11-19T21:30:25;Dynamic iterate;PAID;CREDIT_CARD;2022-11-19T17:47:13;6085
9;2022-11-19T14:24:08;black Maine;PAID;CREDIT_CARD;2022-11-19T17:06:13;11254
10;2022-11-20T03:39:29;Lead Well;CANCELLED;PAYPAL;2022-11-19T16:56:37;85804
