id;placed_date;status;code
1;2022-11-20T06:02:48;COMPLETED;Electronics
2;2022-11-20T00:24:47;COMPLETED;payment PCI violet
3;2022-11-20T10:53:40;CANCELLED;background out-of-the-box withdrawal
4;2022-11-19T14:56:41;COMPLETED;Music real-time
5;2022-11-19T23:00:50;CANCELLED;Hat
6;2022-11-20T11:45:38;PENDING;solid navigating
7;2022-11-19T21:41:24;PENDING;Toys maroon
8;2022-11-20T10:30:58;COMPLETED;Developer
9;2022-11-19T17:59:22;COMPLETED;Credit Soft Cotton
10;2022-11-20T08:41:58;CANCELLED;contingency Bedfordshire
